Method 2: time: 1.005504861, rttEMAVariance: 6.656781358939115, cwndEMAVariance: 0
Method 2: time: 1.001771518, rttEMAVariance: 4.713390018546394, cwndEMAVariance: 0
Method 2: time: 1.004734514, rttEMAVariance: 426.03298308308337, cwndEMAVariance: 0
Method 2: time: 1.001999076, rttEMAVariance: 0.05569544325147567, cwndEMAVariance: 0
Method 2: time: 1.003264411, rttEMAVariance: 2.097639997893004e-05, cwndEMAVariance: 0
Method 2: time: 1.003635681, rttEMAVariance: 0.00046239953778486964, cwndEMAVariance: 0
Method 2: time: 1.003555676, rttEMAVariance: 0.24460935526066122, cwndEMAVariance: 0
Method 2: time: 1.003581696, rttEMAVariance: 0.09363536696603782, cwndEMAVariance: 0
Method 2: time: 1.004585322, rttEMAVariance: 0.08297393844028567, cwndEMAVariance: 0
Method 2: time: 1.003044205, rttEMAVariance: 0.00504095158262705, cwndEMAVariance: 0
Method 2: time: 1.002950667, rttEMAVariance: 1.002389990803709e-06, cwndEMAVariance: 0
Method 2: time: 1.003622112, rttEMAVariance: 389.1945497997459, cwndEMAVariance: 0
Method 2: time: 1.004370733, rttEMAVariance: 0.00015840400414248793, cwndEMAVariance: 0
Method 2: time: 1.00310121, rttEMAVariance: 57.024000020449016, cwndEMAVariance: 0
Method 2: time: 1.003715664, rttEMAVariance: 123.36292525319195, cwndEMAVariance: 0
Method 2: time: 1.00245834, rttEMAVariance: 3.2165108790553876, cwndEMAVariance: 0
Method 2: time: 1.002601808, rttEMAVariance: 46.61810999797689, cwndEMAVariance: 0
Method 2: time: 1.001373863, rttEMAVariance: 27.941855061691445, cwndEMAVariance: 0
Method 2: time: 1.004099897, rttEMAVariance: 18.448551881623366, cwndEMAVariance: 0
Method 2: time: 1.007093748, rttEMAVariance: 239.08149837627522, cwndEMAVariance: 0
Method 2: time: 1.003896114, rttEMAVariance: 126.17455174981765, cwndEMAVariance: 0
Method 2: time: 1.002756406, rttEMAVariance: 0.007571589893679574, cwndEMAVariance: 0
Method 2: time: 1.004559432, rttEMAVariance: 82.68579000964058, cwndEMAVariance: 0
Method 2: time: 1.00420186, rttEMAVariance: 3.9689997455952346e-05, cwndEMAVariance: 0
Method 2: time: 1.003126539, rttEMAVariance: 0.0002220099821578662, cwndEMAVariance: 0
Method 2: time: 1.003150243, rttEMAVariance: 27.28044992593233, cwndEMAVariance: 0
Method 2: time: 1.003645255, rttEMAVariance: 15.468755584166422, cwndEMAVariance: 0
