Method 2: time: 1.008270087, rttEMAVariance: 198.32946223982927, cwndEMAVariance: 2.076480999999615e-74
Method 2: time: 1.003260058, rttEMAVariance: 0.09240778641502627, cwndEMAVariance: 2.076480999999924e-76
Method 2: time: 1.003020034, rttEMAVariance: 0.0033068736292354694, cwndEMAVariance: 2.076480999999618e-68
Method 2: time: 1.003903983, rttEMAVariance: 0.23718079474606985, cwndEMAVariance: 2.076460235189957
Method 2: time: 1.002642273, rttEMAVariance: 0.1043283147858941, cwndEMAVariance: 2.0764872294430916e-100
Method 2: time: 1.001125822, rttEMAVariance: 11.669512040223678, cwndEMAVariance: 1.0678105029999654e-25
Method 2: time: 1.00500719, rttEMAVariance: 43.659157422767954, cwndEMAVariance: 2.0764872294533186e-28
Method 2: time: 1.004621736, rttEMAVariance: 28.95965863007946, cwndEMAVariance: 2.076481000000137e-24
Method 2: time: 1.002243965, rttEMAVariance: 4.880907296139018, cwndEMAVariance: 2.0764809999996103e-84
Method 2: time: 1.007443802, rttEMAVariance: 0.8327074718366363, cwndEMAVariance: 1.2047841000000308e-27
Method 2: time: 1.010780988, rttEMAVariance: 468.0331034875391, cwndEMAVariance: 2.076481000000075e-56
Method 2: time: 1.012797027, rttEMAVariance: 43.669092411652215, cwndEMAVariance: 2.076480999998019e-07
Method 2: time: 1.005356155, rttEMAVariance: 196.043792890392, cwndEMAVariance: 1.3816088999999648e-37
Method 2: time: 1.002086457, rttEMAVariance: 0.0020884973459208036, cwndEMAVariance: 2.0764816229442194e-45
Method 2: time: 1.003838636, rttEMAVariance: 0.013322491634902029, cwndEMAVariance: 2.076480999999609e-87
Method 2: time: 1.003323476, rttEMAVariance: 0.0012321027350315518, cwndEMAVariance: 2.0764809999999663e-89
Method 2: time: 1.003427949, rttEMAVariance: 0.01361616244486032, cwndEMAVariance: 2.0765432944298158e-44
Method 2: time: 1.002916657, rttEMAVariance: 3.3305916700967124, cwndEMAVariance: 2.0764809999999767e-66
Method 2: time: 1.00387543, rttEMAVariance: 9.55150109434839e-05, cwndEMAVariance: 2.076480999999611e-82
Method 2: time: 1.003273418, rttEMAVariance: 0.0013620962247905717, cwndEMAVariance: 2.0764809999999674e-87
Method 2: time: 1.003042214, rttEMAVariance: 4.974735553687322e-05, cwndEMAVariance: 2.0764809999996077e-89
Method 2: time: 1.004241519, rttEMAVariance: 3.7636125569128945e-06, cwndEMAVariance: 2.0764810000001388e-20
Method 2: time: 1.003769433, rttEMAVariance: 158.40005605937836, cwndEMAVariance: 2.076480999999607e-91
Method 2: time: 1.003824044, rttEMAVariance: 1.4295606616687528, cwndEMAVariance: 2.0764809999999547e-10
Method 2: time: 1.0066841499999999, rttEMAVariance: 36.89025398633064, cwndEMAVariance: 2055.7161906187885
Method 2: time: 1.003870195, rttEMAVariance: 0.3360636917589508, cwndEMAVariance: 2.0764810000000957e-114
Method 2: time: 1.005553096, rttEMAVariance: 0.24333567285563779, cwndEMAVariance: 20.762733518999635
Method 2: time: 1.011336305, rttEMAVariance: 84.9884302449274, cwndEMAVariance: 1.0400624999277975e-11
Method 2: time: 1.064089943, rttEMAVariance: 56.16851727987056, cwndEMAVariance: 0.2076480584702876
Method 2: time: 1.062098226, rttEMAVariance: 313.87851546633203, cwndEMAVariance: 4.541115181890039
