Updated metrics: rtt=200816, cwnd=40960, bytesInFlight=5617, packetsInFlight=28
Updated metrics: rtt=200773, cwnd=40960, bytesInFlight=5424, packetsInFlight=26
Updated metrics: rtt=200773, cwnd=40960, bytesInFlight=5520, packetsInFlight=27
Updated metrics: rtt=200773, cwnd=40960, bytesInFlight=5614, packetsInFlight=28
Updated metrics: rtt=200717, cwnd=40960, bytesInFlight=5422, packetsInFlight=26
Updated metrics: rtt=200717, cwnd=40960, bytesInFlight=5735, packetsInFlight=27
Updated metrics: rtt=200717, cwnd=40960, bytesInFlight=5830, packetsInFlight=28
Updated metrics: rtt=200717, cwnd=40960, bytesInFlight=5924, packetsInFlight=29
Updated metrics: rtt=200672, cwnd=40960, bytesInFlight=5410, packetsInFlight=27
Updated metrics: rtt=200672, cwnd=40960, bytesInFlight=5506, packetsInFlight=28
Updated metrics: rtt=200672, cwnd=40960, bytesInFlight=5604, packetsInFlight=29
Updated metrics: rtt=200672, cwnd=40960, bytesInFlight=5702, packetsInFlight=30
Updated metrics: rtt=200684, cwnd=40960, bytesInFlight=5504, packetsInFlight=28
Updated metrics: rtt=200633, cwnd=40960, bytesInFlight=5041, packetsInFlight=26
Updated metrics: rtt=200633, cwnd=40960, bytesInFlight=5446, packetsInFlight=27
Updated metrics: rtt=200633, cwnd=40960, bytesInFlight=5549, packetsInFlight=28
Updated metrics: rtt=200633, cwnd=40960, bytesInFlight=5645, packetsInFlight=29
Updated metrics: rtt=200595, cwnd=40960, bytesInFlight=5447, packetsInFlight=27
Updated metrics: rtt=200595, cwnd=40960, bytesInFlight=5856, packetsInFlight=28
Updated metrics: rtt=200595, cwnd=40960, bytesInFlight=5952, packetsInFlight=29
Updated metrics: rtt=200595, cwnd=40960, bytesInFlight=6048, packetsInFlight=30
Updated metrics: rtt=200579, cwnd=40960, bytesInFlight=5654, packetsInFlight=28
Updated metrics: rtt=200563, cwnd=40960, bytesInFlight=5464, packetsInFlight=26
Updated metrics: rtt=200563, cwnd=40960, bytesInFlight=5560, packetsInFlight=27
Updated metrics: rtt=200563, cwnd=40960, bytesInFlight=5656, packetsInFlight=28
Updated metrics: rtt=200526, cwnd=40960, bytesInFlight=5466, packetsInFlight=26
Updated metrics: rtt=200526, cwnd=40960, bytesInFlight=5827, packetsInFlight=27
Updated metrics: rtt=200526, cwnd=40960, bytesInFlight=5923, packetsInFlight=28
Updated metrics: rtt=200526, cwnd=40960, bytesInFlight=6019, packetsInFlight=29
Updated metrics: rtt=200533, cwnd=40960, bytesInFlight=5599, packetsInFlight=27
Updated metrics: rtt=200533, cwnd=40960, bytesInFlight=5695, packetsInFlight=28
Updated metrics: rtt=200533, cwnd=40960, bytesInFlight=5791, packetsInFlight=29
Updated metrics: rtt=200533, cwnd=40960, bytesInFlight=6186, packetsInFlight=30
Updated metrics: rtt=200538, cwnd=40960, bytesInFlight=5727, packetsInFlight=28
Updated metrics: rtt=200603, cwnd=40960, bytesInFlight=4224, packetsInFlight=26
Updated metrics: rtt=200603, cwnd=40960, bytesInFlight=4320, packetsInFlight=27
Updated metrics: rtt=200603, cwnd=40960, bytesInFlight=4416, packetsInFlight=28
Updated metrics: rtt=200568, cwnd=40960, bytesInFlight=4229, packetsInFlight=26
Updated metrics: rtt=200568, cwnd=40960, bytesInFlight=4637, packetsInFlight=27
Updated metrics: rtt=200586, cwnd=40960, bytesInFlight=4121, packetsInFlight=25
Updated metrics: rtt=200586, cwnd=40960, bytesInFlight=4217, packetsInFlight=26
Updated metrics: rtt=200586, cwnd=40960, bytesInFlight=4313, packetsInFlight=27
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=4123, packetsInFlight=25
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=4219, packetsInFlight=26
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=4315, packetsInFlight=27
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=4411, packetsInFlight=28
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=4444, packetsInFlight=29
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=5853, packetsInFlight=30
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=6019, packetsInFlight=31
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=6115, packetsInFlight=32
Updated metrics: rtt=200577, cwnd=40960, bytesInFlight=6211, packetsInFlight=33
Updated metrics: rtt=200544, cwnd=40960, bytesInFlight=5613, packetsInFlight=29
Updated metrics: rtt=200544, cwnd=40960, bytesInFlight=5645, packetsInFlight=30
Updated metrics: rtt=200544, cwnd=40960, bytesInFlight=7054, packetsInFlight=31
Updated metrics: rtt=200544, cwnd=40960, bytesInFlight=8463, packetsInFlight=32
Updated metrics: rtt=200544, cwnd=40960, bytesInFlight=9081, packetsInFlight=33
Updated metrics: rtt=200544, cwnd=40960, bytesInFlight=9105, packetsInFlight=34
Updated metrics: rtt=200544, cwnd=40960, bytesInFlight=9201, packetsInFlight=35
Updated metrics: rtt=200544, cwnd=40960, bytesInFlight=9297, packetsInFlight=36
Updated metrics: rtt=201167, cwnd=40960, bytesInFlight=8497, packetsInFlight=31
Updated metrics: rtt=201167, cwnd=40960, bytesInFlight=8593, packetsInFlight=32
Updated metrics: rtt=201167, cwnd=40960, bytesInFlight=8689, packetsInFlight=33
Updated metrics: rtt=201167, cwnd=40960, bytesInFlight=8961, packetsInFlight=34
Updated metrics: rtt=201167, cwnd=40960, bytesInFlight=9056, packetsInFlight=35
Updated metrics: rtt=201167, cwnd=40960, bytesInFlight=9151, packetsInFlight=36
Updated metrics: rtt=201460, cwnd=40960, bytesInFlight=8358, packetsInFlight=31
Updated metrics: rtt=201460, cwnd=40960, bytesInFlight=8693, packetsInFlight=32
Updated metrics: rtt=201460, cwnd=40960, bytesInFlight=8788, packetsInFlight=33
Updated metrics: rtt=201460, cwnd=40960, bytesInFlight=8883, packetsInFlight=34
Updated metrics: rtt=201460, cwnd=40960, bytesInFlight=8978, packetsInFlight=35
Updated metrics: rtt=201460, cwnd=40960, bytesInFlight=9073, packetsInFlight=36
Updated metrics: rtt=203093, cwnd=40960, bytesInFlight=8520, packetsInFlight=33
Updated metrics: rtt=203093, cwnd=40960, bytesInFlight=8859, packetsInFlight=34
Updated metrics: rtt=203093, cwnd=40960, bytesInFlight=8954, packetsInFlight=35
Updated metrics: rtt=203093, cwnd=40960, bytesInFlight=9049, packetsInFlight=36
Updated metrics: rtt=203093, cwnd=40960, bytesInFlight=9144, packetsInFlight=37
Updated metrics: rtt=203048, cwnd=40960, bytesInFlight=8365, packetsInFlight=32
Updated metrics: rtt=203048, cwnd=40960, bytesInFlight=8460, packetsInFlight=33
Updated metrics: rtt=203048, cwnd=40960, bytesInFlight=8555, packetsInFlight=34
Updated metrics: rtt=203048, cwnd=40960, bytesInFlight=8841, packetsInFlight=35
Updated metrics: rtt=203048, cwnd=40960, bytesInFlight=8936, packetsInFlight=36
Updated metrics: rtt=203048, cwnd=40960, bytesInFlight=9031, packetsInFlight=37
Updated metrics: rtt=205136, cwnd=40960, bytesInFlight=8431, packetsInFlight=34
Updated metrics: rtt=205136, cwnd=40960, bytesInFlight=8691, packetsInFlight=35
Updated metrics: rtt=205136, cwnd=40960, bytesInFlight=8786, packetsInFlight=36
Updated metrics: rtt=205136, cwnd=40960, bytesInFlight=8881, packetsInFlight=37
Updated metrics: rtt=204527, cwnd=40960, bytesInFlight=7055, packetsInFlight=32
Updated metrics: rtt=204032, cwnd=40960, bytesInFlight=6959, packetsInFlight=32
Updated metrics: rtt=204032, cwnd=28672, bytesInFlight=6959, packetsInFlight=30
Updated metrics: rtt=204032, cwnd=28672, bytesInFlight=7054, packetsInFlight=31
Updated metrics: rtt=204032, cwnd=28672, bytesInFlight=7149, packetsInFlight=32
Updated metrics: rtt=204032, cwnd=28672, bytesInFlight=7392, packetsInFlight=33
Updated metrics: rtt=203566, cwnd=28672, bytesInFlight=7360, packetsInFlight=32
Updated metrics: rtt=203221, cwnd=28672, bytesInFlight=5951, packetsInFlight=31
Updated metrics: rtt=202941, cwnd=28672, bytesInFlight=5927, packetsInFlight=31
Updated metrics: rtt=202636, cwnd=28672, bytesInFlight=4422, packetsInFlight=30
Updated metrics: rtt=202636, cwnd=28672, bytesInFlight=5831, packetsInFlight=31
Updated metrics: rtt=202369, cwnd=28672, bytesInFlight=5117, packetsInFlight=27
Updated metrics: rtt=202369, cwnd=28672, bytesInFlight=5735, packetsInFlight=28
Updated metrics: rtt=202369, cwnd=28672, bytesInFlight=5830, packetsInFlight=29
Updated metrics: rtt=202369, cwnd=28672, bytesInFlight=5925, packetsInFlight=30
Updated metrics: rtt=202134, cwnd=28672, bytesInFlight=5829, packetsInFlight=29
Updated metrics: rtt=202134, cwnd=28672, bytesInFlight=6122, packetsInFlight=30
Updated metrics: rtt=202134, cwnd=28672, bytesInFlight=6217, packetsInFlight=31
Updated metrics: rtt=202134, cwnd=28672, bytesInFlight=6312, packetsInFlight=32
Updated metrics: rtt=202436, cwnd=28672, bytesInFlight=5754, packetsInFlight=28
Updated metrics: rtt=202436, cwnd=28672, bytesInFlight=5849, packetsInFlight=29
Updated metrics: rtt=202436, cwnd=28672, bytesInFlight=5944, packetsInFlight=30
Updated metrics: rtt=202177, cwnd=28672, bytesInFlight=5609, packetsInFlight=29
Updated metrics: rtt=202177, cwnd=28672, bytesInFlight=6244, packetsInFlight=30
Updated metrics: rtt=202177, cwnd=28672, bytesInFlight=6339, packetsInFlight=31
Updated metrics: rtt=202177, cwnd=28672, bytesInFlight=6434, packetsInFlight=32
Updated metrics: rtt=202177, cwnd=28672, bytesInFlight=6529, packetsInFlight=33
Updated metrics: rtt=202349, cwnd=28672, bytesInFlight=6149, packetsInFlight=29
Updated metrics: rtt=202349, cwnd=28672, bytesInFlight=6552, packetsInFlight=30
Updated metrics: rtt=202349, cwnd=28672, bytesInFlight=6647, packetsInFlight=31
Updated metrics: rtt=202349, cwnd=28672, bytesInFlight=6742, packetsInFlight=32
Updated metrics: rtt=202349, cwnd=28672, bytesInFlight=6837, packetsInFlight=33
Updated metrics: rtt=202349, cwnd=28672, bytesInFlight=6932, packetsInFlight=35
Updated metrics: rtt=204032, cwnd=28672, bytesInFlight=6308, packetsInFlight=31
Updated metrics: rtt=204032, cwnd=28672, bytesInFlight=6682, packetsInFlight=32
Updated metrics: rtt=204032, cwnd=28672, bytesInFlight=6777, packetsInFlight=33
Updated metrics: rtt=204032, cwnd=28672, bytesInFlight=6872, packetsInFlight=34
Updated metrics: rtt=203880, cwnd=28672, bytesInFlight=6206, packetsInFlight=29
Updated metrics: rtt=203880, cwnd=28672, bytesInFlight=6511, packetsInFlight=30
Updated metrics: rtt=203880, cwnd=28672, bytesInFlight=6606, packetsInFlight=31
Updated metrics: rtt=203880, cwnd=28672, bytesInFlight=6701, packetsInFlight=32
Updated metrics: rtt=203880, cwnd=28672, bytesInFlight=6796, packetsInFlight=33
Updated metrics: rtt=203880, cwnd=28672, bytesInFlight=6891, packetsInFlight=34
Updated metrics: rtt=205760, cwnd=28672, bytesInFlight=6441, packetsInFlight=31
Updated metrics: rtt=205760, cwnd=28672, bytesInFlight=6942, packetsInFlight=32
Updated metrics: rtt=205760, cwnd=28672, bytesInFlight=7037, packetsInFlight=33
Updated metrics: rtt=205760, cwnd=28672, bytesInFlight=7132, packetsInFlight=34
Updated metrics: rtt=205265, cwnd=28672, bytesInFlight=4316, packetsInFlight=26
Updated metrics: rtt=205265, cwnd=28672, bytesInFlight=4411, packetsInFlight=27
Updated metrics: rtt=205265, cwnd=28672, bytesInFlight=4506, packetsInFlight=28
Updated metrics: rtt=205265, cwnd=28672, bytesInFlight=4601, packetsInFlight=29
Updated metrics: rtt=205265, cwnd=28672, bytesInFlight=5087, packetsInFlight=30
Updated metrics: rtt=205265, cwnd=28672, bytesInFlight=5182, packetsInFlight=31
Updated metrics: rtt=205265, cwnd=28672, bytesInFlight=5277, packetsInFlight=32
Updated metrics: rtt=206960, cwnd=28672, bytesInFlight=4794, packetsInFlight=29
Updated metrics: rtt=206960, cwnd=28672, bytesInFlight=5231, packetsInFlight=30
Updated metrics: rtt=206960, cwnd=28672, bytesInFlight=5326, packetsInFlight=31
Updated metrics: rtt=206960, cwnd=28672, bytesInFlight=5421, packetsInFlight=32
Updated metrics: rtt=206663, cwnd=28672, bytesInFlight=4311, packetsInFlight=26
Updated metrics: rtt=206663, cwnd=28672, bytesInFlight=4406, packetsInFlight=27
Updated metrics: rtt=206663, cwnd=28672, bytesInFlight=4501, packetsInFlight=28
Updated metrics: rtt=206663, cwnd=28672, bytesInFlight=5668, packetsInFlight=29
Updated metrics: rtt=206663, cwnd=28672, bytesInFlight=5763, packetsInFlight=30
Updated metrics: rtt=206663, cwnd=28672, bytesInFlight=5858, packetsInFlight=31
Updated metrics: rtt=205904, cwnd=28672, bytesInFlight=5170, packetsInFlight=27
Updated metrics: rtt=205232, cwnd=28672, bytesInFlight=5075, packetsInFlight=25
Updated metrics: rtt=205232, cwnd=28672, bytesInFlight=5324, packetsInFlight=26
Updated metrics: rtt=204630, cwnd=28672, bytesInFlight=4950, packetsInFlight=25
Updated metrics: rtt=204630, cwnd=28672, bytesInFlight=5045, packetsInFlight=26
Updated metrics: rtt=204630, cwnd=28672, bytesInFlight=5140, packetsInFlight=27
Updated metrics: rtt=204126, cwnd=28672, bytesInFlight=5045, packetsInFlight=26
Updated metrics: rtt=203681, cwnd=28672, bytesInFlight=4950, packetsInFlight=25
Updated metrics: rtt=203681, cwnd=28672, bytesInFlight=5045, packetsInFlight=26
Updated metrics: rtt=203681, cwnd=28672, bytesInFlight=5140, packetsInFlight=27
Updated metrics: rtt=203681, cwnd=28672, bytesInFlight=5526, packetsInFlight=28
Updated metrics: rtt=203681, cwnd=28672, bytesInFlight=5621, packetsInFlight=29
Updated metrics: rtt=203681, cwnd=28672, bytesInFlight=5716, packetsInFlight=30
Updated metrics: rtt=203574, cwnd=28672, bytesInFlight=5031, packetsInFlight=25
Updated metrics: rtt=203574, cwnd=28672, bytesInFlight=5426, packetsInFlight=26
Updated metrics: rtt=203574, cwnd=28672, bytesInFlight=5521, packetsInFlight=27
Updated metrics: rtt=203574, cwnd=28672, bytesInFlight=5616, packetsInFlight=28
Updated metrics: rtt=203574, cwnd=28672, bytesInFlight=5711, packetsInFlight=29
Updated metrics: rtt=203574, cwnd=28672, bytesInFlight=5806, packetsInFlight=30
Updated metrics: rtt=203574, cwnd=28672, bytesInFlight=5901, packetsInFlight=31
Updated metrics: rtt=204809, cwnd=28672, bytesInFlight=5210, packetsInFlight=28
Updated metrics: rtt=204809, cwnd=28672, bytesInFlight=5573, packetsInFlight=29
Updated metrics: rtt=204240, cwnd=28672, bytesInFlight=4802, packetsInFlight=25
Updated metrics: rtt=204240, cwnd=28672, bytesInFlight=4903, packetsInFlight=26
Updated metrics: rtt=204240, cwnd=28672, bytesInFlight=4997, packetsInFlight=27
Updated metrics: rtt=204240, cwnd=28672, bytesInFlight=5092, packetsInFlight=28
Updated metrics: rtt=204240, cwnd=28672, bytesInFlight=5188, packetsInFlight=29
Updated metrics: rtt=204240, cwnd=28672, bytesInFlight=5530, packetsInFlight=30
Updated metrics: rtt=204195, cwnd=28672, bytesInFlight=4713, packetsInFlight=25
Updated metrics: rtt=204195, cwnd=28672, bytesInFlight=4809, packetsInFlight=26
Updated metrics: rtt=204195, cwnd=28672, bytesInFlight=4906, packetsInFlight=27
Updated metrics: rtt=204195, cwnd=28672, bytesInFlight=5196, packetsInFlight=28
Updated metrics: rtt=204195, cwnd=28672, bytesInFlight=5291, packetsInFlight=29
Updated metrics: rtt=204195, cwnd=28672, bytesInFlight=5388, packetsInFlight=30
Updated metrics: rtt=204320, cwnd=28672, bytesInFlight=3841, packetsInFlight=25
Updated metrics: rtt=204320, cwnd=28672, bytesInFlight=5271, packetsInFlight=26
Updated metrics: rtt=204320, cwnd=28672, bytesInFlight=5367, packetsInFlight=27
Updated metrics: rtt=204320, cwnd=28672, bytesInFlight=5463, packetsInFlight=28
Updated metrics: rtt=204320, cwnd=28672, bytesInFlight=5928, packetsInFlight=29
Updated metrics: rtt=204320, cwnd=28672, bytesInFlight=6024, packetsInFlight=30
Updated metrics: rtt=204320, cwnd=28672, bytesInFlight=6120, packetsInFlight=31
Updated metrics: rtt=204320, cwnd=28672, bytesInFlight=6216, packetsInFlight=32
Updated metrics: rtt=206146, cwnd=28672, bytesInFlight=5777, packetsInFlight=29
Updated metrics: rtt=206146, cwnd=28672, bytesInFlight=6000, packetsInFlight=30
Updated metrics: rtt=206146, cwnd=28672, bytesInFlight=6096, packetsInFlight=31
Updated metrics: rtt=206146, cwnd=28672, bytesInFlight=6192, packetsInFlight=32
Updated metrics: rtt=205709, cwnd=28672, bytesInFlight=5426, packetsInFlight=27
Updated metrics: rtt=205709, cwnd=28672, bytesInFlight=5522, packetsInFlight=28
Updated metrics: rtt=205709, cwnd=28672, bytesInFlight=5618, packetsInFlight=29
Updated metrics: rtt=205709, cwnd=28672, bytesInFlight=6008, packetsInFlight=30
