Index,RTT (μs),CWND (B),Bytes In Flight (B)
473,558,40960,4717
474,546,40960,0
475,546,40960,92
476,546,40960,183
477,561,40960,0
478,561,40960,32
479,561,40960,1473
480,561,40960,2914
481,561,40960,4355
482,561,40960,4477
483,561,40960,4570
484,528,40960,0
485,528,40960,92
486,648,40960,0
487,648,40960,91
488,648,40960,183
489,657,40960,0
490,657,40960,94
491,613,40960,0
492,613,40960,32
493,613,40960,1473
494,613,40960,2914
495,613,40960,4345
496,613,40960,4369
497,654,40960,0
498,654,40960,94
499,654,40960,189
500,643,40960,0
501,643,40960,32
502,643,40960,1473
503,643,40960,2914
504,643,40960,3611
505,643,40960,3635
506,643,40960,3730
507,597,40960,0
508,597,40960,95
509,557,40960,0
510,557,40960,95
511,557,40960,190
512,571,40960,0
513,571,40960,32
514,571,40960,1473
515,571,40960,2914
516,571,40960,4355
517,571,40960,4505
518,571,40960,4529
519,561,40960,0
520,561,40960,102
521,561,40960,197
522,582,40960,0
523,582,40960,95
524,582,40960,190
525,544,40960,0
526,544,40960,32
527,544,40960,1473
528,544,40960,2914
529,544,40960,4355
530,544,40960,4404
531,570,40960,0
532,570,40960,95
533,570,40960,190
534,589,40960,0
535,589,40960,32
536,589,40960,1473
537,589,40960,2914
538,589,40960,4355
539,589,40960,4427
540,589,40960,4522
541,550,40960,0
542,550,40960,95
543,550,40960,190
544,539,40960,0
545,539,40960,96
546,539,40960,191
547,509,40960,0
548,509,40960,32
549,509,40960,1473
550,509,40960,2914
551,509,40960,3873
552,509,40960,3897
553,521,40960,0
554,521,40960,111
555,521,40960,205
556,552,40960,0
557,552,40960,33
558,552,40960,1474
559,552,40960,2915
560,552,40960,4356
561,552,40960,4417
562,552,40960,4441
563,552,40960,4537
564,518,40960,0
565,518,40960,97
566,620,40960,0
567,620,40960,95
568,594,40960,0
569,594,40960,104
570,718,40960,0
571,718,40960,33
572,718,40960,1474
573,718,40960,2915
574,718,40960,4356
575,718,40960,4396
576,684,40960,0
577,684,40960,96
578,684,40960,195
579,638,40960,0
580,638,40960,33
581,638,40960,1474
582,638,40960,2915
583,638,40960,3577
584,638,40960,3601
585,638,40960,3700
586,653,40960,0
587,653,40960,97
588,606,40960,0
589,606,40960,96
590,606,40960,198
591,565,40960,102
592,532,40960,0
593,532,40960,33
594,532,40960,1474
595,532,40960,2915
596,532,40960,4251
597,538,40960,0
598,538,40960,95
599,538,40960,190
600,543,40960,0
601,543,40960,95
602,694,40960,0
603,694,40960,95
604,654,40960,0
605,654,40960,95
606,654,40960,128
607,654,40960,1569
608,654,40960,3010
609,654,40960,4451
610,654,40960,4588
611,654,40960,4612
612,648,40960,4484
613,651,40960,3043
614,667,40960,1602
615,688,40960,161
616,714,40960,24
617,723,40960,0
618,723,40960,95
619,723,40960,192
620,705,40960,0
621,705,40960,33
622,705,40960,1474
623,705,40960,2915
624,705,40960,4356
625,705,40960,4654
626,727,40960,0
627,727,40960,94
628,727,40960,187
629,702,40960,0
630,702,40960,101
631,702,40960,198
632,693,40960,0
633,693,40960,33
634,693,40960,1474
635,693,40960,2915
