Index,RTT (μs),CWND (B),Bytes In Flight (B)
1150,249,40960,190
1151,237,40960,0
1152,237,40960,327
1153,238,40960,0
1154,238,40960,95
1155,238,40960,190
1156,254,40960,0
1157,254,40960,95
1158,245,40960,0
1159,245,40960,95
1160,245,40960,190
1161,246,40960,0
1162,246,40960,665
1163,245,40960,0
1164,245,40960,95
1165,245,40960,190
1166,243,40960,0
1167,243,40960,204
1168,243,40960,299
1169,245,40960,0
1170,245,40960,95
1171,253,40960,0
1172,253,40960,95
1173,253,40960,190
1174,253,40960,0
1175,253,40960,507
1176,251,40960,0
1177,251,40960,95
1178,251,40960,190
1179,244,40960,0
1180,244,40960,95
1181,244,40960,190
1182,240,40960,95
1183,236,40960,0
1184,236,40960,278
1185,245,40960,0
1186,245,40960,95
1187,245,40960,190
1188,245,40960,0
1189,245,40960,95
1190,233,40960,0
1191,233,40960,360
1192,229,40960,0
1193,229,40960,95
1194,229,40960,190
1195,222,40960,0
1196,222,40960,95
1197,222,40960,190
1198,221,40960,0
1199,221,40960,575
1200,221,40960,0
1201,221,40960,95
1202,221,40960,190
1203,217,40960,0
1204,217,40960,330
1205,402,40960,0
1206,402,40960,95
1207,402,40960,190
1208,550,40960,95
1209,513,40960,0
1210,513,40960,95
1211,513,40960,190
1212,482,40960,0
1213,482,40960,262
1214,444,40960,0
1215,444,40960,95
1216,444,40960,190
1217,408,40960,95
1218,390,40960,0
1219,390,40960,326
1220,375,40960,0
1221,375,40960,95
1222,375,40960,190
1223,362,40960,0
1224,362,40960,102
1225,362,40960,197
1226,344,40960,0
1227,344,40960,95
1228,334,40960,0
1229,334,40960,1045
1230,320,40960,0
1231,320,40960,95
1232,320,40960,190
1233,314,40960,0
1234,314,40960,95
1235,308,40960,0
1236,308,40960,95
1237,308,40960,194
1238,304,40960,0
1239,304,40960,95
1240,304,40960,190
1241,304,40960,0
1242,304,40960,208
1243,299,40960,0
1244,299,40960,95
1245,299,40960,190
1246,281,40960,0
1247,281,40960,95
1248,281,40960,190
1249,276,40960,0
1250,276,40960,351
1251,267,40960,0
1252,267,40960,95
1253,267,40960,190
1254,256,40960,0
1255,256,40960,273
1256,254,40960,0
1257,254,40960,95
1258,254,40960,190
1259,249,40960,0
1260,249,40960,95
1261,245,40960,0
1262,245,40960,96
1263,245,40960,192
1264,247,40960,0
1265,247,40960,524
1266,240,40960,0
1267,240,40960,96
1268,240,40960,192
1269,240,40960,0
1270,240,40960,263
1271,239,40960,0
1272,239,40960,96
1273,239,40960,192
1274,240,40960,0
1275,240,40960,103
1276,240,40960,199
1277,235,40960,0
1278,235,40960,234
1279,229,40960,0
1280,229,40960,96
1281,229,40960,192
1282,222,40960,0
1283,222,40960,96
1284,437,40960,0
1285,437,40960,240
1286,437,40960,336
1287,416,40960,96
1288,391,40960,0
1289,391,40960,96
1290,391,40960,192
1291,376,40960,0
1292,376,40960,291
1293,353,40960,0
1294,353,40960,96
1295,504,40960,0
1296,504,40960,96
1297,504,40960,192
1298,477,40960,0
1299,477,40960,96
1300,477,40960,192
1301,447,40960,0
1302,447,40960,1054
1303,419,40960,0
1304,419,40960,96
1305,419,40960,192
1306,396,40960,0
1307,396,40960,274
1308,367,40960,0
1309,367,40960,103
1310,367,40960,199
1311,359,40960,0
1312,359,40960,96
1313,359,40960,192
1314,400,40960,0
1315,400,40960,217
1316,541,40960,0
1317,541,40960,96
1318,541,40960,192
1319,498,40960,0
1320,498,40960,170
1321,471,40960,0
1322,471,40960,96
1323,471,40960,192
1324,437,40960,0
1325,437,40960,96
1326,437,40960,192
1327,409,40960,0
1328,409,40960,96
1329,396,40960,0
1330,396,40960,33
1331,396,40960,1474
1332,396,40960,2915
1333,396,40960,3094
1334,427,40960,0
1335,427,40960,96
1336,427,40960,192
1337,393,40960,0
1338,393,40960,904
1339,393,40960,1000
1340,381,40960,0
1341,381,40960,96
1342,361,40960,0
1343,361,40960,95
1344,361,40960,190
1345,342,40960,0
1346,342,40960,191
1347,319,40960,0
1348,319,40960,95
1349,319,40960,190
1350,302,40960,0
1351,302,40960,95
