Index,RTT (μs),CWND (B),Bytes In Flight (B)
630,398,40960,1871
631,430,40960,0
632,430,40960,91
633,430,40960,178
634,403,40960,87
635,403,40960,178
636,379,40960,0
637,379,40960,32
638,379,40960,1473
639,379,40960,2914
640,379,40960,3610
641,379,40960,3703
642,356,40960,0
643,356,40960,97
644,354,40960,0
645,354,40960,96
646,354,40960,194
647,343,40960,0
648,343,40960,32
649,343,40960,1473
650,343,40960,2574
651,343,40960,2670
652,328,40960,0
653,328,40960,94
654,316,40960,0
655,316,40960,97
656,309,40960,0
657,309,40960,96
658,305,40960,0
659,305,40960,32
660,305,40960,1473
661,305,40960,2566
662,305,40960,2590
663,358,40960,0
664,358,40960,94
665,358,40960,188
666,339,40960,0
667,339,40960,32
668,339,40960,1473
669,339,40960,2630
670,390,40960,0
671,390,40960,95
672,390,40960,188
673,371,40960,93
674,356,40960,0
675,356,40960,96
676,356,40960,0
677,356,40960,100
678,358,40960,0
679,358,40960,32
680,358,40960,1473
681,358,40960,2621
682,396,40960,0
683,396,40960,94
684,396,40960,184
685,381,40960,0
686,381,40960,95
687,365,40960,0
688,365,40960,32
689,365,40960,1473
690,365,40960,2795
691,365,40960,2819
692,418,40960,0
693,418,40960,95
694,398,40960,0
695,398,40960,95
696,384,40960,0
697,384,40960,96
698,384,40960,195
699,365,40960,0
700,365,40960,32
701,365,40960,1473
702,365,40960,2636
703,365,40960,2660
704,410,40960,0
705,410,40960,93
706,410,40960,187
707,390,40960,0
708,390,40960,32
709,390,40960,1473
710,390,40960,2705
711,390,40960,2729
712,390,40960,2826
713,373,40960,0
714,373,40960,97
715,361,40960,0
716,361,40960,97
717,361,40960,194
718,344,40960,0
719,344,40960,32
720,344,40960,1473
721,344,40960,2172
722,344,40960,2196
723,377,40960,0
724,377,40960,95
725,377,40960,191
726,360,40960,0
727,360,40960,95
728,349,40960,0
729,349,40960,92
730,349,40960,188
731,338,40960,0
732,338,40960,39
733,338,40960,1480
734,338,40960,2755
735,391,40960,0
736,391,40960,96
737,391,40960,190
738,371,40960,0
739,371,40960,32
740,371,40960,1473
741,371,40960,2486
742,425,40960,0
743,425,40960,96
744,425,40960,188
745,405,40960,0
746,405,40960,95
747,384,40960,0
748,384,40960,96
749,581,40960,0
750,581,40960,32
751,581,40960,1473
752,581,40960,2824
753,581,40960,2848
754,565,40960,0
755,565,40960,90
756,565,40960,183
757,520,40960,0
758,520,40960,32
759,520,40960,1473
760,520,40960,2715
761,520,40960,2739
762,523,40960,0
763,523,40960,91
764,486,40960,0
765,486,40960,94
766,453,40960,0
767,453,40960,94
768,453,40960,186
769,436,40960,0
770,436,40960,32
771,436,40960,1473
772,436,40960,2793
773,436,40960,2817
774,488,40960,0
775,488,40960,91
776,488,40960,181
777,455,40960,0
778,455,40960,32
779,455,40960,1473
780,455,40960,2914
781,455,40960,2968
782,455,40960,3060
783,426,40960,0
784,426,40960,91
785,426,40960,180
786,411,40960,0
787,411,40960,128
788,411,40960,223
789,389,40960,0
790,389,40960,33
791,389,40960,1474
792,389,40960,2568
793,389,40960,2592
794,434,40960,0
795,434,40960,95
796,434,40960,190
797,408,40960,0
798,408,40960,95
799,408,40960,190
800,388,40960,0
801,388,40960,40
802,388,40960,1481
803,388,40960,2922
804,388,40960,3025
805,388,40960,3049
806,432,40960,0
807,432,40960,95
808,432,40960,190
809,404,40960,0
810,404,40960,33
811,404,40960,1474
812,404,40960,2750
813,404,40960,2774
814,429,40960,0
815,429,40960,95
816,429,40960,190
817,407,40960,0
818,407,40960,95
819,407,40960,190
820,388,40960,0
821,388,40960,33
822,388,40960,1474
823,388,40960,2915
824,388,40960,3052
825,430,40960,0
826,430,40960,95
827,430,40960,190
828,409,40960,0
829,409,40960,100
830,385,40960,0
831,385,40960,33
832,385,40960,1474
833,385,40960,2915
834,385,40960,3127
835,385,40960,3151
836,402,40960,0
837,402,40960,101
838,402,40960,194
839,383,40960,0
840,383,40960,92
841,383,40960,184
842,371,40960,0
843,371,40960,33
844,371,40960,1474
845,371,40960,2915
846,371,40960,2983
847,371,40960,3007
848,398,40960,0
849,398,40960,95
850,398,40960,191
851,373,40960,96
852,360,40960,0
853,360,40960,33
854,360,40960,1474
855,360,40960,2875
856,405,40960,0
857,405,40960,103
858,405,40960,199
859,387,40960,0
860,387,40960,96
861,387,40960,193
862,510,40960,0
863,510,40960,33
864,510,40960,1474
865,510,40960,2481
866,546,40960,0
867,546,40960,96
868,546,40960,191
869,503,40960,0
870,503,40960,33
871,503,40960,1474
872,503,40960,2915
873,503,40960,3071
874,553,40960,0
875,553,40960,96
876,553,40960,192
877,524,40960,0
878,524,40960,96
879,524,40960,192
880,524,40960,288
881,487,40960,96
882,462,40960,0
883,462,40960,33
884,462,40960,1474
885,462,40960,2686
886,478,40960,0
887,478,40960,97
888,478,40960,194
889,448,40960,0
890,448,40960,97
891,448,40960,194
892,423,40960,97
893,402,40960,0
894,402,40960,33
895,402,40960,1474
896,402,40960,2915
897,402,40960,3096
898,402,40960,3120
899,424,40960,0
900,424,40960,108
901,424,40960,220
902,401,40960,0
903,401,40960,33
904,401,40960,1474
905,401,40960,2915
