Index,RTT (μs),CWND (B),Bytes In Flight (B)
591,851,40960,4472
592,933,40960,0
593,933,40960,96
594,933,40960,192
595,913,40960,0
596,913,40960,33
597,913,40960,1474
598,913,40960,2915
599,913,40960,4352
600,913,40960,4448
601,881,40960,0
602,881,40960,96
603,927,40960,0
604,927,40960,96
605,927,40960,192
606,907,40960,0
607,907,40960,96
608,964,40960,0
609,964,40960,33
610,964,40960,1474
611,964,40960,2915
612,964,40960,4356
613,964,40960,4456
614,964,40960,4480
615,938,40960,0
616,938,40960,96
617,938,40960,192
618,890,40960,0
619,890,40960,96
620,890,40960,192
621,870,40960,0
622,870,40960,32
623,870,40960,1473
624,870,40960,2914
625,870,40960,4233
626,870,40960,4257
627,843,40960,0
628,843,40960,96
629,843,40960,192
630,809,40960,0
631,809,40960,32
632,809,40960,1473
633,809,40960,2914
634,809,40960,4355
635,809,40960,5796
636,809,40960,7116
637,809,40960,7140
638,754,40960,0
639,754,40960,95
640,754,40960,190
641,741,40960,0
642,741,40960,102
643,741,40960,197
644,749,40960,0
645,749,40960,32
646,749,40960,1473
647,749,40960,2914
648,749,40960,4355
649,749,40960,4675
650,749,40960,4699
651,724,40960,0
652,724,40960,95
653,724,40960,190
654,801,40960,95
655,868,40960,0
656,868,40960,32
657,868,40960,1473
658,868,40960,2914
659,868,40960,4355
660,868,40960,4552
661,868,40960,4576
662,961,40960,0
663,961,40960,95
664,961,40960,190
665,917,40960,0
666,917,40960,95
667,845,40960,0
668,845,40960,95
669,790,40960,0
670,790,40960,95
671,728,40960,0
672,728,40960,32
673,728,40960,1473
674,728,40960,2914
675,728,40960,4355
676,728,40960,4744
677,728,40960,4768
678,676,40960,4736
679,646,40960,0
680,646,40960,95
681,646,40960,190
682,649,40960,0
683,649,40960,32
684,649,40960,1473
685,649,40960,2914
686,649,40960,4355
687,649,40960,5038
688,649,40960,5062
689,649,40960,5157
690,616,40960,0
691,616,40960,95
692,749,40960,0
693,749,40960,95
694,749,40960,190
695,735,40960,0
696,735,40960,32
697,735,40960,1473
698,735,40960,2914
699,735,40960,4355
700,735,40960,4565
701,726,40960,0
702,726,40960,95
703,688,40960,0
704,688,40960,102
705,743,40960,0
706,743,40960,95
707,743,40960,190
708,743,40960,0
709,743,40960,32
710,743,40960,1473
711,743,40960,2914
712,743,40960,4355
713,743,40960,4533
714,745,40960,0
715,745,40960,95
716,745,40960,190
717,728,40960,0
718,728,40960,32
719,728,40960,1473
720,728,40960,2914
721,728,40960,4355
722,728,40960,4548
723,728,40960,4572
724,705,40960,0
725,705,40960,95
726,705,40960,190
727,702,40960,0
728,702,40960,95
729,652,40960,0
730,652,40960,95
731,652,40960,190
732,615,40960,95
733,813,40960,0
734,813,40960,32
735,813,40960,1473
736,813,40960,2914
737,813,40960,4355
738,813,40960,4654
739,813,40960,4678
740,813,40960,0
741,813,40960,95
742,813,40960,190
743,798,40960,0
744,798,40960,32
745,798,40960,1473
746,798,40960,2914
747,798,40960,4355
748,798,40960,4672
749,798,40960,4696
750,803,40960,0
751,803,40960,95
752,803,40960,190
753,791,40960,0
754,791,40960,95
755,732,40960,0
756,732,40960,95
757,806,40960,0
758,806,40960,32
759,806,40960,1473
760,806,40960,2914
761,806,40960,4355
762,806,40960,4943
763,806,40960,4967
764,782,40960,0
765,782,40960,95
766,782,40960,190
767,750,40960,0
768,750,40960,32
769,750,40960,1473
770,750,40960,2914
771,750,40960,4355
772,750,40960,4496
773,750,40960,4520
774,750,40960,4615
775,717,40960,0
776,717,40960,95
777,887,40960,0
778,887,40960,95
779,887,40960,190
780,813,40960,0
781,813,40960,101
782,855,40960,0
783,855,40960,32
784,855,40960,1473
785,855,40960,2914
786,855,40960,3929
787,855,40960,3953
788,796,40960,0
789,796,40960,95
790,796,40960,190
791,750,40960,0
792,750,40960,32
793,750,40960,1473
794,750,40960,2914
795,750,40960,4355
796,750,40960,4429
797,750,40960,4453
798,750,40960,4548
799,709,40960,0
800,709,40960,95
801,864,40960,0
802,864,40960,95
803,864,40960,190
804,794,40960,0
805,794,40960,32
806,794,40960,1473
807,794,40960,2914
808,794,40960,4355
809,794,40960,4631
810,794,40960,4655
811,742,40960,0
812,742,40960,95
813,742,40960,190
814,745,40960,0
815,745,40960,95
816,745,40960,190
817,690,40960,0
818,690,40960,33
819,690,40960,1474
820,690,40960,2915
821,690,40960,4356
822,690,40960,4576
823,667,40960,0
824,667,40960,95
825,667,40960,190
826,651,40960,0
827,651,40960,33
828,651,40960,1474
829,651,40960,2915
830,651,40960,4356
831,651,40960,4610
832,651,40960,4634
833,659,40960,0
834,659,40960,95
835,659,40960,190
836,614,40960,0
837,614,40960,95
838,614,40960,190
839,614,40960,285
840,580,40960,95
841,554,40960,0
842,554,40960,40
843,554,40960,1481
844,554,40960,2922
845,554,40960,4363
846,554,40960,4585
847,554,40960,4609
848,531,40960,0
849,531,40960,95
850,531,40960,190
851,513,40960,0
852,513,40960,33
853,513,40960,1474
854,513,40960,2915
855,513,40960,4157
856,513,40960,4181
857,498,40960,0
858,498,40960,94
859,498,40960,188
860,478,40960,0
861,478,40960,95
862,478,40960,191
863,465,40960,0
864,465,40960,33
865,465,40960,1474
866,465,40960,2915
867,465,40960,3912
868,465,40960,3936
869,448,40960,1021
870,436,40960,24
871,419,40960,0
872,419,40960,96
873,440,40960,0
874,440,40960,97
875,550,40960,0
876,550,40960,33
877,550,40960,1474
878,550,40960,2915
879,550,40960,4170
880,550,40960,4194
881,550,40960,4289
882,599,40960,95
883,599,40960,192
884,562,40960,0
885,562,40960,96
886,562,40960,192
887,566,40960,0
888,566,40960,33
889,566,40960,1474
890,566,40960,2915
891,566,40960,4356
892,566,40960,4519
893,566,40960,4543
894,557,40960,0
