Method 3: time: 1.009515715, rttCustomWeightedVariance: 121475.68355932824, cwndCustomWeightedVariance: 0
Method 3: time: 1.008496955, rttCustomWeightedVariance: 17602.06714321925, cwndCustomWeightedVariance: 0
Method 3: time: 1.007476385, rttCustomWeightedVariance: 14903.786566643017, cwndCustomWeightedVariance: 0
Method 3: time: 1.015246548, rttCustomWeightedVariance: 37582.8411593988, cwndCustomWeightedVariance: 0
Method 3: time: 1.007522425, rttCustomWeightedVariance: 8639.08599360461, cwndCustomWeightedVariance: 0
Method 3: time: 1.015901992, rttCustomWeightedVariance: 7055.020695685989, cwndCustomWeightedVariance: 0
Method 3: time: 1.010072536, rttCustomWeightedVariance: 249042.71106990046, cwndCustomWeightedVariance: 0
Method 3: time: 1.008655025, rttCustomWeightedVariance: 4153.931165459892, cwndCustomWeightedVariance: 0
Method 3: time: 1.005015911, rttCustomWeightedVariance: 84368.87319288921, cwndCustomWeightedVariance: 0
Method 3: time: 1.013735342, rttCustomWeightedVariance: 11175.689199300743, cwndCustomWeightedVariance: 0
Method 3: time: 1.015690595, rttCustomWeightedVariance: 60403.288567899275, cwndCustomWeightedVariance: 0
Method 3: time: 1.007716105, rttCustomWeightedVariance: 15105.969392636844, cwndCustomWeightedVariance: 0
Method 3: time: 1.012260262, rttCustomWeightedVariance: 34552.11916631174, cwndCustomWeightedVariance: 0
Method 3: time: 1.017205693, rttCustomWeightedVariance: 51659.32417861849, cwndCustomWeightedVariance: 0
Method 3: time: 1.00537947, rttCustomWeightedVariance: 236596.83314717343, cwndCustomWeightedVariance: 0
Method 3: time: 1.010561323, rttCustomWeightedVariance: 95727.74033876354, cwndCustomWeightedVariance: 0
Method 3: time: 1.006577656, rttCustomWeightedVariance: 61897.85969412842, cwndCustomWeightedVariance: 0
Method 3: time: 1.008940175, rttCustomWeightedVariance: 7253.508305669768, cwndCustomWeightedVariance: 0
Method 3: time: 1.011567538, rttCustomWeightedVariance: 14219.908250257913, cwndCustomWeightedVariance: 0
Method 3: time: 1.018325187, rttCustomWeightedVariance: 16500.351280915434, cwndCustomWeightedVariance: 0
Method 3: time: 1.010310211, rttCustomWeightedVariance: 555588.5232478073, cwndCustomWeightedVariance: 0
Method 3: time: 1.007685813, rttCustomWeightedVariance: 23889.894747987015, cwndCustomWeightedVariance: 0
Method 3: time: 1.008607947, rttCustomWeightedVariance: 258374.70691207904, cwndCustomWeightedVariance: 0
Method 3: time: 1.01401795, rttCustomWeightedVariance: 20494.115883597606, cwndCustomWeightedVariance: 0
Method 3: time: 1.010570347, rttCustomWeightedVariance: 35276.664160597546, cwndCustomWeightedVariance: 0
Method 3: time: 1.011208011, rttCustomWeightedVariance: 317474.0160093821, cwndCustomWeightedVariance: 0
Method 3: time: 1.016187036, rttCustomWeightedVariance: 12289.371600613853, cwndCustomWeightedVariance: 0
Method 3: time: 1.012928294, rttCustomWeightedVariance: 145367.83323437325, cwndCustomWeightedVariance: 0
Method 3: time: 1.007279129, rttCustomWeightedVariance: 86844.43656523159, cwndCustomWeightedVariance: 0
Method 3: time: 1.008251279, rttCustomWeightedVariance: 149105.20388711637, cwndCustomWeightedVariance: 0
Method 3: time: 1.008549562, rttCustomWeightedVariance: 81550.3704018179, cwndCustomWeightedVariance: 0
Method 3: time: 1.011081912, rttCustomWeightedVariance: 52311.1420147234, cwndCustomWeightedVariance: 0
Method 3: time: 1.006757881, rttCustomWeightedVariance: 166600.8261156291, cwndCustomWeightedVariance: 0
Method 3: time: 1.007007554, rttCustomWeightedVariance: 193160.372443378, cwndCustomWeightedVariance: 0
