Index,RTT (μs),CWND (B),Bytes In Flight (B)
834,376,40960,3003
835,420,40960,0
836,420,40960,92
837,397,40960,0
838,397,40960,91
839,397,40960,180
840,367,40960,89
841,351,40960,0
842,351,40960,32
843,351,40960,1473
844,351,40960,2914
845,351,40960,2950
846,351,40960,3078
847,331,40960,0
848,331,40960,95
849,323,40960,0
850,323,40960,95
851,308,40960,0
852,308,40960,101
853,300,40960,0
854,300,40960,33
855,300,40960,1474
856,300,40960,2435
857,316,40960,0
858,316,40960,95
859,316,40960,190
860,313,40960,0
861,313,40960,95
862,499,40960,0
863,499,40960,95
864,461,40960,0
865,461,40960,33
866,461,40960,1474
867,461,40960,2915
868,461,40960,3130
869,472,40960,0
870,472,40960,95
871,472,40960,190
872,437,40960,0
873,437,40960,33
874,437,40960,1474
875,437,40960,2641
876,437,40960,2665
877,476,40960,0
878,476,40960,95
879,459,40960,0
880,459,40960,95
881,436,40960,0
882,436,40960,95
883,436,40960,190
884,413,40960,0
885,413,40960,100
886,389,40960,0
887,389,40960,33
888,389,40960,1474
889,389,40960,2915
890,389,40960,3209
891,389,40960,3233
892,439,40960,0
893,439,40960,101
894,439,40960,194
895,410,40960,0
896,410,40960,33
897,410,40960,1474
898,410,40960,2822
899,410,40960,2846
900,464,40960,0
901,464,40960,92
902,438,40960,0
903,438,40960,92
904,408,40960,0
905,408,40960,95
906,408,40960,191
907,438,40960,0
908,438,40960,33
909,438,40960,1474
910,438,40960,2915
911,438,40960,2993
912,438,40960,3017
913,474,40960,0
914,474,40960,96
915,474,40960,192
916,441,40960,0
917,441,40960,40
918,441,40960,1481
919,441,40960,2922
920,441,40960,3018
921,416,40960,0
922,416,40960,97
923,394,40960,0
924,394,40960,96
925,394,40960,191
926,374,40960,0
927,374,40960,33
928,374,40960,1474
929,374,40960,2573
930,413,40960,0
931,413,40960,96
932,413,40960,192
933,394,40960,0
934,394,40960,33
935,394,40960,1474
936,394,40960,2915
937,394,40960,3096
938,394,40960,3192
939,374,40960,0
940,374,40960,96
941,374,40960,192
942,360,40960,0
943,360,40960,97
944,360,40960,194
945,341,40960,0
946,341,40960,33
947,341,40960,1474
948,341,40960,2780
949,341,40960,2804
950,406,40960,0
951,406,40960,97
952,406,40960,194
953,387,40960,0
954,387,40960,108
